Bachman,*SmartJaw,$2.750b,375.000k rep
Bachman,Enhanced Social Interaction Implant,$1.375b,375.000k rep
Bachman,Speech Enhancement,$12.500m,2.500k rep
Bachman,Nuoptimal Nootropic Injector Implant,$20.000m,5.000k rep
Bachman,Neuralstimulator,$3.000b,50.000k rep
Bachman,ADR-V2 Pheromone Gene,$550.000m,62.500k rep

Slum Snakes,Wired Reflexes,$2.500m,1.250k rep
Slum Snakes,Augmented Targeting I,$15.000m,5.000k rep
Slum Snakes,LuminCloaking-V2 Skin Implant,$30.000m,5.000k rep
Slum Snakes,Combat Rib I,$23.750m,7.500k rep
Slum Snakes,*SmartSonar Implant,$75.000m,22.500k rep

Tetrads,LuminCloaking-V2 Skin Implant,Pre-requisites Owned,$30.000m,5.000k rep
Tetrads,HemoRecirculator,$45.000m,10.000k rep
Tetrads,Power Recirculation Core,$180.000m,25.000k rep
Tetrads,*Bionic Arms,$275.000m,62.500k rep

Sector 12,Augmented Targeting II,$42.500m,8.750k rep
Sector 12,*CashRoot Starter Kit,$125.000m,12.500k rep

Aevum, *PCMatrix,$2.000b,100.000k rep

Tian Di Hui,Speech Enhancement,$12.500m,2.500k rep
Tian Di Hui,Nuoptimal Nootropic Injector Implant,$20.000m,5.000k rep
Tian Di Hui,Speech Processor Implant,$50.000m,7.500k rep
Tian Di Hui,Nanofiber Weave,$125.000m,37.500k rep

NiteSec,Artificial Synaptic Potentiation,$80.000m,6.250k rep
NiteSec,Cranial Signal Processors - Gen II,$125.000m,18.750k rep
NiteSec,*Neural-Retention Enhancement,$250.000m,20.000k rep
NiteSec,*CRTX42-AA Gene Modification,$225.000m,45.000k rep

The Black Hand,Neuralstimulator,$3.000b,50.000k rep
The Black Hand,*The Black Hand,$550.000m,100.000k rep

Bitrunners, Neurotrainer II,$45.000m,10.000k rep
Bitrunners, Embedded Netburner Module,$250.000m,15.000k rep
Bitrunners, Cranial Signal Processors - Gen III,$550.000m,50.000k rep
Bitrunners, Enhanced Myelin Sheathing,$1.375b,100.000k rep
Bitrunners, DataJack,$450.000m,112.500k rep
Bitrunners, Cranial Signal Processors - Gen IV,$1.100b,125.000k rep
Bitrunners, Embedded Netburner Module Core Implant,$2.500b,175.000k rep
Bitrunners, *Neural Accelerator,$1.750b,200.000k rep
Bitrunners, *Cranial Signal Processors - Gen V,$2.250b,250.000k rep
Bitrunners, Artificial Bio-neural Network Implant,$3.000b,275.000k rep
Bitrunners, *BitRunners Neurolink,$4.375b,75.000k rep


